City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,kununurra,-15.7667,128.7333,26.99,94,33,2.06,AU,1733692835
162,katsuura,35.1333,140.3,6.43,55,1,5.01,JP,1733693046
163,emerald,-23.5333,148.1667,27.41,56,89,3.78,AU,1733693048
164,lebu,-37.6167,-73.65,14.13,68,1,7.33,CL,1733692960
165,el granada,37.5027,-122.4694,20.07,63,0,6.17,US,1733693050
166,petropavlovsk-kamchatsky,53.0452,158.6483,-2.67,54,75,3.0,RU,1733693051
167,jian'ou,27.0469,118.3253,9.9,79,100,0.71,CN,1733693052
168,usinsk,65.9939,57.5281,-12.14,95,100,8.8,RU,1733693053
169,san patricio,28.017,-97.5169,13.97,77,100,2.09,US,1733693054
170,manokwari,-0.8667,134.0833,26.37,87,100,3.4,ID,1733693055
171,abepura,-2.6333,140.5833,24.45,94,20,1.54,ID,1733693056
172,nizhneangarsk,55.7833,109.55,-8.29,76,65,3.85,RU,1733693057
173,tannum sands,-23.9504,151.3693,29.3,74,100,2.57,AU,1733693058
174,kudamatsu,34.0,131.8667,4.76,75,33,2.32,JP,1733693060
175,keflavik,64.0049,-22.5624,9.24,100,100,16.98,IS,1733693061
176,stanley,54.868,-1.6985,6.4,90,40,6.69,GB,1733693062
177,petauke,-14.2426,31.3253,20.27,81,90,3.91,ZM,1733692803
178,caleta de carquin,-11.0925,-77.6267,21.5,80,99,5.13,PE,1733693064
179,dunedin,-45.8742,170.5036,17.67,37,2,2.68,NZ,1733693065
180,peace river,56.2501,-117.286,-1.83,86,100,2.06,CA,1733693066
181,tari,-11.1105,14.3559,19.45,96,99,1.17,AO,1733693067
182,nuku'alofa,-21.1333,-175.2,28.19,89,20,7.2,TO,1733693068
183,taradale,-39.5333,176.85,21.73,60,100,5.67,NZ,1733693070
184,wongsorejo,-7.9908,114.4009,25.26,87,100,1.84,ID,1733693071
185,carrigaline,51.8117,-8.3986,7.56,75,40,8.23,IE,1733693072
186,quarteira,37.0695,-8.1006,10.87,62,0,2.57,PT,1733693073
187,piraju,-23.1936,-49.3839,21.56,98,100,2.56,BR,1733693074
188,mount isa,-20.7333,139.5,28.87,74,17,3.6,AU,1733693075
189,villa gesell,-37.2639,-56.973,13.32,55,1,6.26,AR,1733692841
190,faya-largeau,17.9257,19.1043,20.76,21,1,9.67,TD,1733693079
